"indicator","subtopic","short.description","population","group","percent.06","percent.08","percent.10","percent.12","percent.14","percent.16","percent.18","p.value.18.06","p.value.18.08","p.value.18.10","p.value.18.12","p.value.18.14","p.value.18.16","p.value.16.06","p.value.16.08","p.value.16.10","p.value.16.12","p.value.16.14"
"ind_1","Gambling participation","Any gambling activities","adults","Total",82.7,77.4,81.3,69.7,70.2,70.2,67.2,0,0,0,0.2,0.2,0.1,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Men",84.1,78.5,80.6,67.8,70.3,72,67.3,0,0,0,0.9,0.3,0.1,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Women",81.3,76.4,81.9,71.6,70.1,68.5,67.2,0,0,0,0.1,0.3,0.6,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","15-24",72.7,64,67.7,50.6,52.4,52.9,45.4,0,0,0,0.5,0.3,0.2,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","25-44",84.5,79.5,80.3,71.6,72.2,69.9,68.8,0,0,0,0.3,0.3,0.7,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","45-64",86.9,81.8,87.5,77.1,76.6,79.4,73.4,0,0,0,0.2,0.3,0,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","65+",81.8,79.7,85.3,72.4,73.3,71.7,74,0,0.2,0,0.7,0.9,0.5,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Maori",87.8,78.3,79.9,74.1,73.5,73.1,69.3,0,0,0,0.2,0.4,0.4,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Pacific",71.2,68.9,71.9,66.8,62.3,61.6,60.4,0,0.1,0,0.2,0.7,0.8,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Asian",67.2,51.3,65.1,53.1,53.2,52.8,41.4,0,0.4,0,0.1,0.1,0,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","European/Other",84.4,81.2,85.2,71.1,74,74,72.7,0,0,0,0.5,0.6,0.5,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Least (1-3)",83.4,83.4,78.7,71.7,76,72.4,67.9,0,0,0,0.3,0,0.2,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Mid (4-7)",82.3,74.4,88,70.3,68.5,70.5,68.4,0,0.1,0,0.6,1,0.5,NA,NA,NA,NA,NA
"ind_1","Gambling participation","Any gambling activities","adults","Most (8-10)",82.4,75.1,76.1,67.3,65.6,67.1,65.1,0,0,0,0.6,0.9,0.6,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Total",17.6,15.4,18.6,20,15.9,15.6,14,0,0.4,0,0,0.2,0.2,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Men",19.5,14.8,20.5,22.6,18.6,15.3,15.4,0.1,0.8,0.1,0,0.2,0.9,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Women",15.8,15.9,16.8,17.5,13.4,15.9,12.7,0.1,0.1,0,0,0.7,0,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","15-24",6.3,4.7,3.3,5.5,3.8,1.2,1.2,0,0.2,0.3,0,0.2,0.9,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","25-44",13,14.1,11.8,16.7,11,10.9,7.9,0,0,0.1,0,0.1,0.1,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","45-64",25.9,20.7,29.3,27.5,23.5,22,20.6,0.1,1,0.1,0,0.3,0.6,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","65+",24.9,20.4,27.5,27.1,23.3,27,25.4,0.9,0.2,0.6,0.6,0.5,0.6,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Maori",19.6,16.6,18.7,21.9,15.5,16.6,15.2,0.1,0.6,0.2,0,0.9,0.5,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Pacific",8.5,16.4,14.8,18.9,11.2,15.8,14.3,0,0.5,0.9,0.1,0.3,0.6,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Asian",11.9,6.4,14,13.2,7.6,6.4,7.8,0.3,0.8,0.6,0.3,0.9,0.7,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","European/Other",18.2,16.1,19.1,19.7,17.6,17,15,0.1,0.5,0,0,0.1,0.1,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Least (1-3)",16.8,15.7,20.9,21.7,16.7,12.1,11.4,0.1,0.1,0,0,0.1,0.8,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Mid (4-7)",18.3,15.6,18.4,19.7,16.2,16.6,14.7,0.2,0.7,0.2,0,0.5,0.3,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Most (8-10)",17.5,14.7,16.2,18.8,14.4,18.1,15.9,0.5,0.6,0.9,0.2,0.5,0.3,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Non-problem gambler",NA,NA,22.7,28.6,22.6,22.1,21.4,NA,NA,0.6,0,0.5,0.7,NA,NA,NA,NA,NA
