"indicator","subtopic","short.description","population","year","group","female","female.low.CI","female.high.CI","male","male.low.CI","male.high.CI","total","total.low.CI","total.high.CI","estimated.number","estimated.number.low.CI","estimated.number.high.CI"
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Least (1-3)",84.3,76.8,90.1,82.5,73.8,89.2,83.4,77.7,88.2,882000,821000,932000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Mid (4-7)",80.6,74.4,85.8,84.1,78.5,88.7,82.3,78.1,85.9,1121000,1064000,1171000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Most (8-10)",78.7,71,85.2,86,80.5,90.4,82.4,77.7,86.5,750000,707000,787000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Total",81.3,77.6,84.6,84.1,80.5,87.3,82.7,80.1,85,2752000,2666000,2830000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"15-24",69.7,58.1,79.7,75.5,65.3,84.1,72.7,65.2,79.3,442000,396000,482000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"25-44",82.7,76.5,87.9,86.4,80.5,91,84.5,80.1,88.2,997000,946000,1042000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"45-64",86.1,79.9,91,87.7,79.9,93.3,86.9,82.1,90.7,907000,857000,947000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"65+",81.3,71.9,88.7,82.4,72.7,89.8,81.8,75.5,87.1,406000,375000,432000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Maori",86.3,79.8,91.3,89.5,82.7,94.3,87.8,83.5,91.4,362000,344000,377000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Pacific",70.6,61,79.1,71.8,60.1,81.6,71.2,63.2,78.3,120000,106000,132000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"Asian",64.3,53.7,74.1,70.4,60.9,78.8,67.2,59.7,74,193000,171000,212000
"ind_1","Gambling participation","Any gambling activities","adults",2006,"European/Other",83.2,78.8,87,85.7,81,89.6,84.4,81.3,87.2,2237000,2154000,2312000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Least (1-3)",76.1,66.9,83.8,91.6,84.5,96.1,83.4,77.7,88.2,876000,816000,925000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Mid (4-7)",76.6,67.7,84.1,72.1,62.4,80.4,74.4,67.9,80.2,1011000,923000,1090000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Most (8-10)",76.4,69.5,82.5,73.7,61.7,83.6,75.1,68.3,81.1,718000,653000,775000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Total",76.4,71.8,80.5,78.5,72.9,83.5,77.4,73.9,80.6,2605000,2485000,2712000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"15-24",60,44,74.5,68.1,46.3,85.3,64,51.1,75.6,395000,316000,467000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"25-44",77.8,70.7,83.9,81.5,74,87.5,79.5,74.5,84,956000,895000,1009000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"45-64",82.4,74.6,88.6,81.2,71.2,88.9,81.8,75.6,87,858000,793000,913000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"65+",80.2,69.7,88.3,79,65,89.3,79.7,71.7,86.3,396000,356000,429000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Maori",78.8,71.4,85.1,77.7,65.8,86.9,78.3,71.9,83.8,331000,304000,354000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Pacific",68.5,59.1,76.8,69.3,57,79.9,68.9,61.9,75.2,126000,113000,137000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"Asian",49.5,26.3,72.8,53.3,19.1,85.4,51.3,30.3,72,164000,97000,231000
"ind_1","Gambling participation","Any gambling activities","adults",2008,"European/Other",79.9,74.8,84.4,82.5,76.5,87.5,81.2,77.2,84.7,2172000,2066000,2267000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Least (1-3)",84.2,75.3,90.8,73.3,58.4,85.1,78.7,70.1,85.7,918000,819000,1001000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Mid (4-7)",83.8,76.7,89.4,92.6,87.8,96,88,83.5,91.6,1102000,1046000,1147000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Most (8-10)",77.2,70.2,83.3,74.8,64.6,83.3,76.1,70.3,81.2,778000,719000,831000
