"indicator","subtopic","short.description","population","year","comparison","adjusted.rate.ratio","adjusted.rate.ratio.low.CI","adjusted.rate.ratio.high.CI","adjusted.for","Significant"
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Asian vs non-Asian",0.58,0.47,0.71,"Age, Sex",TRUE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Maori vs non-Maori",1.09,0.99,1.21,"Age, Sex",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Asian vs non-Asian",0.66,0.48,0.9,"Age",TRUE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Maori vs non-Maori",1.07,0.9,1.26,"Age",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Most deprived vs least deprived",0.95,0.8,1.13,"Age, Ethnicity",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Men: Pacific vs non-Pacific",0.95,0.78,1.14,"Age",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Most deprived vs least deprived",1,0.89,1.11,"Age, Sex, Ethnicity",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Pacific vs non-Pacific",0.94,0.83,1.06,"Age, Sex",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women vs men",0.99,0.91,1.07,"Age",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Asian vs non-Asian",0.51,0.39,0.65,"Age",TRUE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Maori vs non-Maori",1.12,1,1.25,"Age",TRUE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Most deprived vs least deprived",1.04,0.91,1.19,"Age, Ethnicity",FALSE
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Women: Pacific vs non-Pacific",0.93,0.8,1.09,"Age",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Asian vs non-Asian",0.64,0.31,1.32,"Age, Sex",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Maori vs non-Maori",1.4,1.1,1.77,"Age, Sex",TRUE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Asian vs non-Asian",1,0.41,2.45,"Age",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Maori vs non-Maori",1.26,0.87,1.81,"Age",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Most deprived vs least deprived",1.31,0.83,2.08,"Age, Ethnicity",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Men: Pacific vs non-Pacific",1.47,0.91,2.39,"Age",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Most deprived vs least deprived",1.51,1.09,2.1,"Age, Sex, Ethnicity",TRUE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Pacific vs non-Pacific",1.32,0.94,1.85,"Age, Sex",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women vs men",0.8,0.62,1.02,"Age",FALSE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Asian vs non-Asian",0.28,0.09,0.83,"Age",TRUE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Maori vs non-Maori",1.56,1.13,2.17,"Age",TRUE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Most deprived vs least deprived",1.84,1.16,2.94,"Age, Ethnicity",TRUE
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Women: Pacific vs non-Pacific",1.13,0.71,1.79,"Age",FALSE
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Men: Most deprived vs least deprived",0.83,0.39,1.79,"Age",FALSE
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Most deprived vs least deprived",0.98,0.63,1.51,"Age, Sex",FALSE
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Women vs men",0.89,0.65,1.22,"Age",FALSE
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Women: Most deprived vs least deprived",1.07,0.62,1.83,"Age",FALSE
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Men: Most deprived vs least deprived",0.79,0.33,1.92,"Age",FALSE
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Most deprived vs least deprived",0.64,0.4,1,"Age, Sex",TRUE
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Women vs men",1.03,0.71,1.49,"Age",FALSE
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Women: Most deprived vs least deprived",0.53,0.32,0.89,"Age",TRUE
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Asian vs non-Asian",NA,NA,NA,"Age, Sex",NA
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Maori vs non-Maori",1.43,1.03,1.99,"Age, Sex",TRUE
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age",NA
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Maori vs non-Maori",0.99,0.54,1.79,"Age",FALSE
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Most deprived vs least deprived",1.23,0.66,2.29,"Age, Ethnicity",FALSE
"ind_11","Gambling participation frequency","Four or more activities","adults",2018,"Men: Pacific vs non-Pacific",0.65,0.3,1.38,"Age",FALSE
